name1;source1;target1;value1;group1;name2;source2;target2;value2;group2;name3;source3;target3;value3;group3;name4;source4;target4;value4;group4
Ganado porcino;0;36;71519.88346;otragr;Comidas, platos preparados y otros productos alimenticios;;;;;Vidrio y productos de vidrio;7;40;440329.7984;maq;Servicios de almacenamiento y depósito;7;45;62744.09259;fin
Pollo en pie;0;37;186580.9092;otragr;Alimentos preparados para animales;;;;;Productos refractarios, materiales de construcción ;7;41;129128.1529;maq;Servicios de estacionamientos;7;46;797210.99;fin
Otros animales vivos;1;19;13986.00586;banano;Bebidas alcohólicas destiladas y vinos;;;;;Cemento, cal y yeso;7;42;25775.87277;maq;Otros servicios vinculados con transporte;7;47;306425.5031;fin
Huevos;2;23;170789.9747;café;Cerveza, malta, bebidas no alcohólicas y agua embotellada;;;;;Artículos de hormigón, cemento y yeso ;7;43;29446.45301;maq;Carga y descarga;7;48;374990.4134;fin
Leche cruda;;;;;Productos de tabaco;;;;;Productos Básicos de Hierro y Acero ;7;44;250682.3673;maq;Otros servicios de apoyo al transporte;7;49;174591.7343;fin
Otros productos animales n.c.p.;;;;;;;;;;Productos primarios de aluminio, zinc;7;45;289370.6321;maq;Servicios postales y de mensajería;7;50;72203.67675;fin
Servicios de apoyo a la agricultura;;;;;;;;;;Productos metálicos para uso estructural;7;46;54935.09984;maq;Servicios de alojamiento;10;51;1956031.691;otrsvc
;;;;;;;;;;Otros productos de metal;7;47;213098.4287;maq;Servicio de suministro de comida y bebidas;10;52;743323.1688;otrsvc
;;;;;;;;;;Componentes y tableros electrónicos;7;48;30766.75319;maq;Servicios de radio, de televisión, películas;8;53;168788.7036;svcprf
;;;;;;;;;;Equipos de comunicaciones ;7;49;636177.7522;maq;Servicios de telefonía;8;54;146217.9109;svcprf
;;;;;;;;;;Equipo de medición, prueba, navegación ;8;50;814302.8288;vehículos;Servicios de internet;8;55;434450.7662;svcprf
;;;;;;;;;;Equipo de irradiación, electrónico, médico;8;51;189445.5941;vehículos;Otros servicios de telecomunicaciones;8;56;316991.7178;svcprf
;;;;;;;;;;Instrumentos ópticos, fotográfico;8;52;59712.26025;vehículos;Servicios de información, programación;8;57;125489.6093;svcprf
;;;;;;;;;;Motores, generadores, transformadores eléctricos;1;53;106178.7075;otrmnf;Servicios de banca central;8;58;532193.2345;svcprf
;;;;;;;;;;Pilas, baterías, acumuladores, cables ;1;54;160480.3296;otrmnf;Otros servicios explícitos de intermediación monetaria ;8;59;213113.0379;svcprf
;;;;;;;;;;Equipo eléctrico de iluminación;7;55;813976.496;maq;Servicios de intermediación financiera;10;60;31273.79253;otrsvc
;;;;;;;;;;Refrigeradoras, cocinas, lavadoras;1;56;292760.3763;otrmnf;Otros servicios financieros y de banca de inversión;10;61;396715.4107;otrsvc
;;;;;;;;;;Otros tipos de equipo eléctrico;1;57;107974.3227;otrmnf;Servicios de seguros, reaseguros y fondos de pensiones;10;62;162755.5047;otrsvc
;;;;;;;;;;Maquinaria de uso general y especial;1;58;341879.4894;otrmnf;Servicios auxiliares de la intermediación monetaria y financiera;10;63;35740.11218;otrsvc
;;;;;;;;;;, remolques y semirremolques;;;;;Servicios auxiliares de seguros y fondos de pensiones;10;64;110437.2144;otrsvc
;;;;;;;;;;Partes y piezas para vehículos automotores;;;;;Servicios de alquiler de viviendas;10;65;126467.7029;otrsvc
;;;;;;;;;;Otros tipos de equipo de transporte;;;;;Servicios de alquiler de inmuebles no residenciales;10;66;232332.4309;otrsvc
;;;;;;;;;;Muebles de madera;;;;;Servicios jurídicos;10;67;135247.9228;otrsvc
;;;;;;;;;;Muebles de otro tipo de material;;;;;Servicios de contabilidad, consultoría fiscal y otros;10;68;889122.9631;otrsvc
;;;;;;;;;;Instrumentos y suministros médicos y dentales;;;;;Servicios de consultoría en gestión financiera;9;69;702714.8807;admpub
;;;;;;;;;;Otros productos manufactureros;;;;;Servicios de arquitectura, ingeniería y conexos;10;70;555120.2523;otrsvc
;;;;;;;;;;Desperdicios y desechos;;;;;Servicios de investigación científica y desarrollo;10;71;24761.56547;otrsvc
;;;;;;;;;;Servicios de manufactura;;;;;Servicios de publicidad;11;72;2050816.351;edu
;;;;;;;;;;;;;;;Otros servicios profesionales, científicos y técnicos;12;73;1926719.36;salud
;;;;;;;;;;;;;;;Servicios veterinarios;10;74;235986.7239;otrsvc
;;;;;;;;;;;;;;;Servicios de alquiler de automotores;10;75;95837.54848;otrsvc
;;;;;;;;;;;;;;;Alquiler y arrendamiento de licencias;10;76;102771.1018;otrsvc
;;;;;;;;;;;;;;;Otros servicios de alquiler;10;77;10055.29324;otrsvc
;;;;;;;;;;;;;;;Servicios de agencias de empleo;10;78;176517.355;otrsvc
;;;;;;;;;;;;;;;Servicios de agencias de viajes, operadores turísticos;10;79;10403.04833;otrsvc
;;;;;;;;;;;;;;;Servicios de seguridad  e investigación;10;80;21008.64638;otrsvc
;;;;;;;;;;;;;;;Limpieza de edificios y cuidado del paisaje y mantenimiento;13;81;282337.9895;domest
;;;;;;;;;;;;;;;Servicios administrativos y de apoyo de oficina;;;;
;;;;;;;;;;;;;;;Servicios públicos generales del gobierno ;;;;
;;;;;;;;;;;;;;;Servicios a la comunidad en general;;;;
;;;;;;;;;;;;;;;Servicios administrativos de los regímenes de seguridad social obligatoria;;;;
;;;;;;;;;;;;;;;Servicios de enseñanza;;;;
;;;;;;;;;;;;;;;Servicios de atención de la salud humana;;;;
;;;;;;;;;;;;;;;Servicios artísticos, de entretenimiento y recreativos;;;;
;;;;;;;;;;;;;;;Servicios de asociaciones empresariales;;;;
;;;;;;;;;;;;;;;Servicios de reparación de computadoras;;;;
;;;;;;;;;;;;;;;Servicios de lavado, secado y limpieza de prendas;;;;
;;;;;;;;;;;;;;;Servicios de peluquería y otros tratamientos de belleza;;;;
;;;;;;;;;;;;;;;Servicios funerarios y conexos;;;;
;;;;;;;;;;;;;;;Otros servicios n.c.p.;;;;
;;;;;;;;;;;;;;;Servicios domésticos;;;;
